date,daily_kwh,voltage_std_v
2010-09-20,18.4,2.91
2010-09-21,19.2,2.75
2010-09-22,17.8,2.88
2010-09-23,20.1,3.02
2010-09-24,22.6,3.18
2010-09-25,24.2,3.31
2010-09-26,23.4,3.10
2010-09-27,19.7,2.96
2010-09-28,18.9,2.82
2010-09-29,20.5,3.04
2010-09-30,21.3,3.16
2010-10-01,22.0,3.21
2010-10-02,25.1,3.42
2010-10-03,24.6,3.28
2010-10-04,20.2,3.08
2010-10-05,19.6,2.94
2010-10-06,18.7,2.89
2010-10-07,21.4,3.11
2010-10-08,22.8,3.25
2010-10-09,26.3,3.51
2010-10-10,25.7,3.39
2010-10-11,21.1,3.15
2010-10-12,20.3,2.99
2010-10-13,19.8,2.93
2010-10-14,22.1,3.12
2010-10-15,23.5,3.27
2010-10-16,27.2,3.58
2010-10-17,26.5,3.43
2010-10-18,21.9,3.14
2010-10-19,20.7,3.01
2010-10-20,20.0,2.95
2010-10-21,22.6,3.18
2010-10-22,24.1,3.32
2010-10-23,28.0,3.66
2010-10-24,27.1,3.49
2010-10-25,22.4,3.20
2010-10-26,21.2,3.07
2010-10-27,20.6,3.00
2010-10-28,23.0,3.22
2010-10-29,24.8,3.37
