,mutual_information,random_forest_importance,selected
time_index,0.42695688306248236,0.02199742083548969,True
month,0.3701253878432831,0.004581825599852402,True
energy_roll_max_14,0.36263608145340864,0.017450270771072963,True
energy_lag_1,0.3626118653069028,0.1313608193488094,True
energy_roll_min_7,0.35659132641537816,0.04884795546571186,True
energy_roll_min_14,0.35477860489927115,0.00694357572492474,True
year_cos,0.34780234194096815,0.05497635034507684,True
energy_roll_max_30,0.3408640848643554,0.020140024763030603,True
energy_roll_mean_14,0.31450111238530987,0.015932382702578483,True
energy_roll_mean_7,0.3087881495564475,0.08378925830873961,True
energy_roll_min_30,0.3018181103941022,0.006165272110730761,True
energy_roll_max_7,0.2938790907843276,0.009519867717370758,True
energy_ewm_7,0.2859167026227234,0.1766573706134897,True
energy_roll_mean_30,0.2780910889911974,0.009001516282116363,True
energy_lag_7,0.2753019809405002,0.03880365937894893,True
voltage_std_v_lag_1,0.2744553099522009,0.02079027895920644,True
sub_metering_3_kwh_lag_1,0.2487075530348699,0.015674836985836084,False
energy_lag_2,0.24467249506507205,0.018267134969306854,False
energy_lag_3,0.24194199869665978,0.0157120007338329,False
energy_lag_14,0.20089009093170507,0.03310262169021783,True
year_sin,0.18087300228368397,0.009736341125326379,False
sub_metering_2_kwh_lag_1,0.17000507181605595,0.017126747999697503,False
energy_lag_21,0.1546677214396066,0.026990845134103783,True
energy_lag_28,0.15127228159395223,0.02326606539998697,True
energy_roll_std_14,0.1442590151886627,0.008231151295366229,False
reactive_power_mean_kw_lag_1,0.13938837968823048,0.016561521204893546,False
energy_roll_std_7,0.13606123591550823,0.009248805061629388,False
energy_change_7d,0.13498031646000985,0.01884355728345303,True
sub_metering_1_kwh_lag_1,0.12737887396096026,0.009453266536582149,False
energy_lag_30,0.1032714930580032,0.011627288042345765,False
energy_change_1d,0.0929540010126666,0.015108331927224699,False
energy_roll_std_30,0.09224122575942673,0.01343526553926649,False
voltage_mean_v_lag_1,0.0841731137286863,0.012195210414763432,False
is_weekend,0.04463391110165338,0.012947582495181303,False
day_of_week,0.03328196662126581,0.019310199627484575,True
dow_sin,0.029416179722610902,0.024093412993851947,True
dow_cos,0.01809506526522675,0.0021099646124996363,False
