feature,importance_mean,importance_std
energy_ewm_7,0.54205367077948,0.07255844278128949
energy_lag_1,0.4012760460834288,0.07512062137837969
year_cos,0.38149912731125213,0.06661185895427556
energy_roll_mean_7,0.2018684987510296,0.045988188728299795
dow_sin,0.18392934955410795,0.07763310206367471
day_of_week,0.1736363327080074,0.08839521018069425
energy_roll_max_30,0.16928369102901786,0.0337828479690008
energy_lag_21,0.1172249703401067,0.0358017710177742
energy_roll_min_7,0.09394573308153804,0.026820155934535225
energy_lag_28,0.07488706780161922,0.032314366630319884
energy_roll_max_14,0.05916027759666429,0.023119138970874455
energy_roll_mean_14,0.04100057544927482,0.015591455138416515
voltage_std_v_lag_1,0.03821817617058918,0.0312643811097506
energy_lag_7,0.027671819826594966,0.044096218300465825
month,0.026311645872240906,0.008419273299080527
energy_roll_mean_30,0.007340539437914862,0.01160302457854583
energy_change_7d,0.001961570283354597,0.027493254161140453
energy_roll_max_7,0.0016929077128130742,0.012647455382268183
energy_roll_min_30,0.0004609012601735074,0.013009784126480352
time_index,-6.217248937900876e-16,6.936895214610187e-16
energy_roll_min_14,-0.006252795145012868,0.008740891470058484
energy_lag_14,-0.010183756365261431,0.031127947282162498
