,target_daily_kwh
energy_ewm_7,0.6633171539442996
energy_roll_mean_7,0.6558114581530073
energy_roll_mean_14,0.6191387051210195
energy_ewm_30,0.6110663841812034
energy_lag_1,0.608686955950688
energy_roll_max_7,0.6076864829251667
energy_roll_min_7,0.606048439668743
intensity_mean_a_lag_1,0.6025770054460383
energy_roll_mean_30,0.5743680803686773
normal_use_30d_kwh,0.5743680803686773
high_consumption_threshold_kwh,0.5743680803686764
energy_roll_max_14,0.5644753835866212
year_cos,0.5603259448825331
voltage_std_v_lag_1,0.5585554787854371
energy_roll_min_14,0.5384125866295926
energy_lag_7,0.5336158269481822
energy_lag_3,0.5245828229699622
energy_roll_max_30,0.520064562658897
energy_lag_2,0.4756040347728604
sub_metering_3_kwh_lag_1,0.4732785403302699
energy_lag_14,0.4559572694812761
energy_lag_21,0.43203146414207755
energy_roll_min_30,0.3951222626602882
energy_lag_28,0.3722648115789852
energy_roll_std_7,0.3239599840626719
energy_roll_std_14,0.32136014079100594
energy_roll_std_30,0.31212054604979056
sub_metering_1_kwh_lag_1,0.26299976694165883
energy_change_7d,0.2333137393553673
energy_lag_30,0.22942451694821198
is_weekend,0.22253377232189228
day_of_week,0.17329133785010578
reactive_power_mean_kw_lag_1,-0.17094305058057763
voltage_mean_v_lag_1,0.16311243238465947
energy_change_1d,0.14970528593376836
dow_sin,-0.14433904094213923
year_sin,0.140682953540799
sub_metering_2_kwh_lag_1,0.12278475893212698
time_index,-0.11319318110603195
month,-0.06109891747551433
day_of_year,-0.05981023118560715
dow_cos,0.04746108207450082
