feature,permutation_importance_mean,permutation_importance_std
energy_lag_1,0.8356451526586482,0.12690696460343492
energy_ewm_7,0.2732462573836082,0.07928724831623946
year_cos,0.20000058597140888,0.09253828327499344
energy_roll_max_14,0.18478991396826275,0.04262129201122463
voltage_std_v_lag_1,0.11526885327622827,0.04225808433581506
energy_roll_min_7,0.11276501965012635,0.05454594713337209
energy_lag_21,0.08473781586526431,0.03297272522312621
day_of_week,0.045603919210563205,0.04689830481383401
energy_change_7d,0.0251245937999617,0.022911207200137226
energy_roll_mean_7,0.019845038397366465,0.03238063647925669
energy_lag_14,0.017613052972537922,0.021143771214152264
energy_lag_28,0.017172721290956247,0.01305796410413185
energy_roll_max_7,0.010839911536166102,0.007652221460131415
energy_roll_min_14,0.006480671399361052,0.002183937445317557
energy_roll_mean_14,0.001495618503205757,0.007277098046788918
time_index,0.0,0.0
dow_sin,-2.6398807395248505e-05,0.02334015626706139
month,-0.0002709929515368525,0.003222201313520886
energy_roll_min_30,-0.005892328601657951,0.010641157532979442
energy_roll_mean_30,-0.007164554060370184,0.010321147024895089
energy_lag_7,-0.012030508475281598,0.01482008358457745
energy_roll_max_30,-0.012756023563098174,0.005118403216706016
