local_condition,contribution
year_cos > 0.74,3.028040730899899
day_of_week > 5.00,2.260244045957562
energy_lag_1 > 32.81,1.070108853162019
energy_roll_min_7 > 24.67,1.0589581197407565
27.68 < energy_ewm_7 <= 32.55,1.05302758855195
voltage_std_v_lag_1 > 2.99,1.0038103417627593
dow_sin <= -0.78,0.8553065728866006
20.91 < energy_lag_21 <= 27.24,-0.732743205429381
energy_lag_7 > 32.90,0.7238581972716202
27.69 < energy_roll_mean_7 <= 32.86,0.43488799916681437
energy_lag_28 > 33.55,0.28399876640001237
time_index > 695.75,-0.22380562650081712
0.29 < energy_change_7d <= 5.32,0.21565348642768595
12.49 < energy_roll_min_30 <= 18.85,0.2142923526627584
27.68 < energy_roll_mean_14 <= 33.13,-0.2009963431528863
