group_dimension,group,days,MAE_kWh,mean_error_actual_minus_predicted_kWh,underprediction_rate
season,Autumn,31,4.2455163984729385,-0.7007254772883587,0.3870967741935484
season,Spring,60,3.82205890709771,0.24387129557291623,0.4666666666666667
season,Summer,77,3.240478321455259,-0.9709055083898239,0.35064935064935066
season,Winter,5,6.731788786621093,-2.7800229919433597,0.6
day_type,Weekday,125,3.284731210091146,-0.5233962345052081,0.408
day_type,Weekend,48,4.8649774208810594,-0.6317817052947158,0.3958333333333333
consumption_band,Q1 lowest,68,4.196780413915597,-3.80610155508752,0.07352941176470588
consumption_band,Q2,56,2.195577999605451,-0.454591062218802,0.4642857142857143
consumption_band,Q3,31,2.938971742232128,1.665614362425445,0.7419354838709677
consumption_band,Q4 highest,18,8.037153185017903,7.604883823762116,0.8888888888888888
high_use_group,High consumption,23,7.553955680117398,7.215657919134609,0.9130434782608695
high_use_group,Normal,150,3.135795578806559,-1.7447345553826226,0.32666666666666666
