group_dimension,group,days,warning_selection_rate,true_positive_rate,false_positive_rate,precision,actual_high_days
season,Autumn,31,0.16129032258064516,0.42857142857142855,0.08333333333333333,0.6,7
season,Spring,60,0.016666666666666666,0.1,0.0,1.0,10
season,Summer,77,0.012987012987012988,0.16666666666666666,0.0,1.0,6
season,Winter,5,0.0,,0.0,,0
day_type,Weekday,125,0.008,0.1,0.0,1.0,10
day_type,Weekend,48,0.125,0.3076923076923077,0.05714285714285714,0.6666666666666666,13
consumption_band,Q1 lowest,68,0.029411764705882353,0.5,0.015151515151515152,0.5,2
consumption_band,Q2,56,0.0,,0.0,,0
consumption_band,Q3,31,0.03225806451612903,0.0,0.037037037037037035,0.0,4
consumption_band,Q4 highest,18,0.2222222222222222,0.23529411764705882,0.0,1.0,17
